# Generated: Wed Jan 28 14:37:51 2026
# Parameters: n_x=20, n_y=60, annular=1
242
2
       0  0.000000000000e+00  0.000000000000e+00     1
      41  0.000000000000e+00  1.666666666667e-01     1
      82  0.000000000000e+00  3.333333333333e-01     1
     123  0.000000000000e+00  5.000000000000e-01     1
     164  0.000000000000e+00  6.666666666667e-01     1
     205  0.000000000000e+00  8.333333333333e-01     1
     246  0.000000000000e+00  1.000000000000e+00     1
     287  0.000000000000e+00  1.166666666667e+00     1
     328  0.000000000000e+00  1.333333333333e+00     1
     369  0.000000000000e+00  1.500000000000e+00     1
     410  0.000000000000e+00  1.666666666667e+00     1
     451  0.000000000000e+00  1.833333333333e+00     1
     492  0.000000000000e+00  2.000000000000e+00     1
     533  0.000000000000e+00  2.166666666667e+00     1
     574  0.000000000000e+00  2.333333333333e+00     1
     615  0.000000000000e+00  2.500000000000e+00     1
     656  0.000000000000e+00  2.666666666667e+00     1
     697  0.000000000000e+00  2.833333333333e+00     1
     738  0.000000000000e+00  3.000000000000e+00     1
     779  0.000000000000e+00  3.166666666667e+00     1
     820  0.000000000000e+00  3.333333333333e+00     1
     861  0.000000000000e+00  3.500000000000e+00     1
     902  0.000000000000e+00  3.666666666667e+00     1
     943  0.000000000000e+00  3.833333333333e+00     1
     984  0.000000000000e+00  4.000000000000e+00     1
    1025  0.000000000000e+00  4.166666666667e+00     1
    1066  0.000000000000e+00  4.333333333333e+00     1
    1107  0.000000000000e+00  4.500000000000e+00     1
    1148  0.000000000000e+00  4.666666666667e+00     1
    1189  0.000000000000e+00  4.833333333333e+00     1
    1230  0.000000000000e+00  5.000000000000e+00     1
    1271  0.000000000000e+00  5.166666666667e+00     1
    1312  0.000000000000e+00  5.333333333333e+00     1
    1353  0.000000000000e+00  5.500000000000e+00     1
    1394  0.000000000000e+00  5.666666666667e+00     1
    1435  0.000000000000e+00  5.833333333333e+00     1
    1476  0.000000000000e+00  6.000000000000e+00     1
    1517  0.000000000000e+00  6.166666666667e+00     1
    1558  0.000000000000e+00  6.333333333333e+00     1
    1599  0.000000000000e+00  6.500000000000e+00     1
    1640  0.000000000000e+00  6.666666666667e+00     1
    1681  0.000000000000e+00  6.833333333333e+00     1
    1722  0.000000000000e+00  7.000000000000e+00     1
    1763  0.000000000000e+00  7.166666666667e+00     1
    1804  0.000000000000e+00  7.333333333333e+00     1
    1845  0.000000000000e+00  7.500000000000e+00     1
    1886  0.000000000000e+00  7.666666666667e+00     1
    1927  0.000000000000e+00  7.833333333333e+00     1
    1968  0.000000000000e+00  8.000000000000e+00     1
    2009  0.000000000000e+00  8.166666666667e+00     1
    2050  0.000000000000e+00  8.333333333333e+00     1
    2091  0.000000000000e+00  8.500000000000e+00     1
    2132  0.000000000000e+00  8.666666666667e+00     1
    2173  0.000000000000e+00  8.833333333333e+00     1
    2214  0.000000000000e+00  9.000000000000e+00     1
    2255  0.000000000000e+00  9.166666666667e+00     1
    2296  0.000000000000e+00  9.333333333333e+00     1
    2337  0.000000000000e+00  9.500000000000e+00     1
    2378  0.000000000000e+00  9.666666666667e+00     1
    2419  0.000000000000e+00  9.833333333333e+00     1
    2460  0.000000000000e+00  1.000000000000e+01     1
    2501  0.000000000000e+00  1.016666666667e+01     1
    2542  0.000000000000e+00  1.033333333333e+01     1
    2583  0.000000000000e+00  1.050000000000e+01     1
    2624  0.000000000000e+00  1.066666666667e+01     1
    2665  0.000000000000e+00  1.083333333333e+01     1
    2706  0.000000000000e+00  1.100000000000e+01     1
    2747  0.000000000000e+00  1.116666666667e+01     1
    2788  0.000000000000e+00  1.133333333333e+01     1
    2829  0.000000000000e+00  1.150000000000e+01     1
    2870  0.000000000000e+00  1.166666666667e+01     1
    2911  0.000000000000e+00  1.183333333333e+01     1
    2952  0.000000000000e+00  1.200000000000e+01     1
    2993  0.000000000000e+00  1.216666666667e+01     1
    3034  0.000000000000e+00  1.233333333333e+01     1
    3075  0.000000000000e+00  1.250000000000e+01     1
    3116  0.000000000000e+00  1.266666666667e+01     1
    3157  0.000000000000e+00  1.283333333333e+01     1
    3198  0.000000000000e+00  1.300000000000e+01     1
    3239  0.000000000000e+00  1.316666666667e+01     1
    3280  0.000000000000e+00  1.333333333333e+01     1
    3321  0.000000000000e+00  1.350000000000e+01     1
    3362  0.000000000000e+00  1.366666666667e+01     1
    3403  0.000000000000e+00  1.383333333333e+01     1
    3444  0.000000000000e+00  1.400000000000e+01     1
    3485  0.000000000000e+00  1.416666666667e+01     1
    3526  0.000000000000e+00  1.433333333333e+01     1
    3567  0.000000000000e+00  1.450000000000e+01     1
    3608  0.000000000000e+00  1.466666666667e+01     1
    3649  0.000000000000e+00  1.483333333333e+01     1
    3690  0.000000000000e+00  1.500000000000e+01     1
    3731  0.000000000000e+00  1.516666666667e+01     1
    3772  0.000000000000e+00  1.533333333333e+01     1
    3813  0.000000000000e+00  1.550000000000e+01     1
    3854  0.000000000000e+00  1.566666666667e+01     1
    3895  0.000000000000e+00  1.583333333333e+01     1
    3936  0.000000000000e+00  1.600000000000e+01     1
    3977  0.000000000000e+00  1.616666666667e+01     1
    4018  0.000000000000e+00  1.633333333333e+01     1
    4059  0.000000000000e+00  1.650000000000e+01     1
    4100  0.000000000000e+00  1.666666666667e+01     1
    4141  0.000000000000e+00  1.683333333333e+01     1
    4182  0.000000000000e+00  1.700000000000e+01     1
    4223  0.000000000000e+00  1.716666666667e+01     1
    4264  0.000000000000e+00  1.733333333333e+01     1
    4305  0.000000000000e+00  1.750000000000e+01     1
