# Generated: Wed Jan 28 14:37:51 2026
# Parameters: n_x=20, n_y=60, node_elem=9
160
       0         0         2     1     0
       1         2         4     1     0
       2         4         6     1     0
       3         6         8     1     0
       4         8        10     1     0
       5        10        12     1     0
       6        12        14     1     0
       7        14        16     1     0
       8        16        18     1     0
       9        18        20     1     0
      10        20        22     1     0
      11        22        24     1     0
      12        24        26     1     0
      13        26        28     1     0
      14        28        30     1     0
      15        30        32     1     0
      16        32        34     1     0
      17        34        36     1     0
      18        36        38     1     0
      19        38        40     1     0
      20        40       122     1     0
      21       122       204     1     0
      22       204       286     1     0
      23       286       368     1     0
      24       368       450     1     0
      25       450       532     1     0
      26       532       614     1     0
      27       614       696     1     0
      28       696       778     1     0
      29       778       860     1     0
      30       860       942     1     0
      31       942      1024     1     0
      32      1024      1106     1     0
      33      1106      1188     1     0
      34      1188      1270     1     0
      35      1270      1352     1     0
      36      1352      1434     1     0
      37      1434      1516     1     0
      38      1516      1598     1     0
      39      1598      1680     1     0
      40      1680      1762     1     0
      41      1762      1844     1     0
      42      1844      1926     1     0
      43      1926      2008     1     0
      44      2008      2090     1     0
      45      2090      2172     1     0
      46      2172      2254     1     0
      47      2254      2336     1     0
      48      2336      2418     1     0
      49      2418      2500     1     0
      50      2500      2582     1     0
      51      2582      2664     1     0
      52      2664      2746     1     0
      53      2746      2828     1     0
      54      2828      2910     1     0
      55      2910      2992     1     0
      56      2992      3074     1     0
      57      3074      3156     1     0
      58      3156      3238     1     0
      59      3238      3320     1     0
      60      3320      3402     1     0
      61      3402      3484     1     0
      62      3484      3566     1     0
      63      3566      3648     1     0
      64      3648      3730     1     0
      65      3730      3812     1     0
      66      3812      3894     1     0
      67      3894      3976     1     0
      68      3976      4058     1     0
      69      4058      4140     1     0
      70      4140      4222     1     0
      71      4222      4304     1     0
      72      4304      4386     1     0
      73      4386      4468     1     0
      74      4468      4550     1     0
      75      4550      4632     1     0
      76      4632      4714     1     0
      77      4714      4796     1     0
      78      4796      4878     1     0
      79      4878      4960     1     0
      80      4960      4958     1     0
      81      4958      4956     1     0
      82      4956      4954     1     0
      83      4954      4952     1     0
      84      4952      4950     1     0
      85      4950      4948     1     0
      86      4948      4946     1     0
      87      4946      4944     1     0
      88      4944      4942     1     0
      89      4942      4940     1     0
      90      4940      4938     1     0
      91      4938      4936     1     0
      92      4936      4934     1     0
      93      4934      4932     1     0
      94      4932      4930     1     0
      95      4930      4928     1     0
      96      4928      4926     1     0
      97      4926      4924     1     0
      98      4924      4922     1     0
      99      4922      4920     1     0
     100      4920      4838     1     0
     101      4838      4756     1     0
     102      4756      4674     1     0
     103      4674      4592     1     0
     104      4592      4510     1     0
     105      4510      4428     1     0
     106      4428      4346     1     0
     107      4346      4264     1     0
     108      4264      4182     1     0
     109      4182      4100     1     0
     110      4100      4018     1     0
     111      4018      3936     1     0
     112      3936      3854     1     0
     113      3854      3772     1     0
     114      3772      3690     1     0
     115      3690      3608     1     0
     116      3608      3526     1     0
     117      3526      3444     1     0
     118      3444      3362     1     0
     119      3362      3280     1     0
     120      3280      3198     1     0
     121      3198      3116     1     0
     122      3116      3034     1     0
     123      3034      2952     1     0
     124      2952      2870     1     0
     125      2870      2788     1     0
     126      2788      2706     1     0
     127      2706      2624     1     0
     128      2624      2542     1     0
     129      2542      2460     1     0
     130      2460      2378     1     0
     131      2378      2296     1     0
     132      2296      2214     1     0
     133      2214      2132     1     0
     134      2132      2050     1     0
     135      2050      1968     1     0
     136      1968      1886     1     0
     137      1886      1804     1     0
     138      1804      1722     1     0
     139      1722      1640     1     0
     140      1640      1558     1     0
     141      1558      1476     1     0
     142      1476      1394     1     0
     143      1394      1312     1     0
     144      1312      1230     1     0
     145      1230      1148     1     0
     146      1148      1066     1     0
     147      1066       984     1     0
     148       984       902     1     0
     149       902       820     1     0
     150       820       738     1     0
     151       738       656     1     0
     152       656       574     1     0
     153       574       492     1     0
     154       492       410     1     0
     155       410       328     1     0
     156       328       246     1     0
     157       246       164     1     0
     158       164        82     1     0
     159        82         0     1     0
